,movieId,title,rating,timestamp
296,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",5.0,2015-01-12 03:48:52
610,823,"Collector, The (La collectionneuse) (1967)",5.0,2015-01-10 21:13:12
734,1014,Pollyanna (1960),5.0,2015-01-12 16:18:37
810,1117,"Eighth Day, The (Huitième jour, Le) (1996)",4.75,2015-01-03 22:32:41
1109,1534,"Bonheur, Le (1965)",4.75,2015-01-11 15:02:59
631,875,Nothing to Lose (1994),4.5,2015-01-07 17:55:25
1046,1423,Hearts and Minds (1996),4.5,2015-01-04 17:46:47
1330,1900,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",4.423076923076923,2015-01-07 02:47:57
33,35,Carrington (1995),4.25,2015-01-08 04:21:06
64,72,Kicking and Screaming (1995),4.25,2015-01-05 13:48:04
1471,2069,"Trip to Bountiful, The (1985)",4.25,2015-01-02 22:57:22
765,1051,Trees Lounge (1996),4.166666666666667,2015-01-05 13:48:39
47,50,"Usual Suspects, The (1995)",4.149321266968326,2015-01-10 15:01:15
239,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.135910224438903,2015-01-14 05:40:55
447,541,Blade Runner (1982),4.1347826086956525,2015-01-01 22:15:31
866,1208,Apocalypse Now (1979),4.125984251968504,2015-01-01 19:59:59
672,926,All About Eve (1950),4.107142857142857,2015-01-11 04:21:37
874,1216,"Big Blue, The (Grand bleu, Le) (1988)",4.09375,2015-01-02 23:48:16
880,1222,Full Metal Jacket (1987),4.072916666666667,2015-01-09 11:39:52
910,1254,"Treasure of the Sierra Madre, The (1948)",4.0675675675675675,2015-01-09 03:33:12
853,1193,One Flew Over the Cuckoo's Nest (1975),4.0636363636363635,2015-01-01 02:42:14
872,1214,Alien (1979),4.057951482479784,2015-01-09 03:35:26
5,6,Heat (1995),4.047244094488189,2015-01-12 00:14:35
1536,2141,"American Tail, An (1986)",4.03125,2015-01-05 04:54:47
902,1246,Dead Poets Society (1989),4.012195121951219,2015-01-02 12:56:57
824,1136,Monty Python and the Holy Grail (1975),4.0025641025641026,2015-01-10 15:34:05
516,645,Nelly & Monsieur Arnaud (1995),4.0,2015-01-05 23:44:59
829,1161,"Tin Drum, The (Blechtrommel, Die) (1979)",4.0,2015-01-02 21:29:54
850,1189,"Thin Blue Line, The (1988)",4.0,2015-01-09 03:36:30
852,1192,Paris Is Burning (1990),4.0,2015-01-11 21:46:48
